Symbol,Interval,ARIMA_RMSE,ARIMA_MAE,LSTM_RMSE,LSTM_MAE,LightGBM_RMSE,LightGBM_MAE,XGBoost_RMSE,XGBoost_MAE,RandomForest_RMSE,RandomForest_MAE
BTC-USD,Weekly,35083.76646878668,32101.021805679447,10570.380353444374,8429.516009221312,35319.912594999,32262.897016732582,36203.02068343668,33115.62165178572,33221.787456123886,30079.583174603173
BTC-USD,Monthly,36599.58862484868,34475.74982793201,13069.61979707409,11414.885817307691,39906.64768445054,38008.22195057585,33857.20785843919,31680.46796875,33174.189371667344,30918.976244791666
BTC-USD,Quarterly,15951.929869010351,15626.842827863777,34387.46920460587,32536.0953125,63865.98300851075,62870.236780427644,37701.71821008317,35717.5546875,38435.41489160669,36761.4698125
ETH-USD,Weekly,963.637438928697,763.3574349303282,370.4714462174333,297.78776575307376,248.20553251599253,181.23736688625664,195.57370910034817,150.8414054749504,188.73248125456593,145.0691808694507
ETH-USD,Monthly,988.2068077535263,816.9252277382212,893.5314386972676,721.0147986778846,633.6809881648027,540.1955442840605,274.7514336700904,241.92046712239582,336.98265539643904,279.09070304361984
ETH-USD,Quarterly,1786.16690056564,1579.8281024175826,924.0627117267492,725.820654296875,1337.648258476184,1119.9098317999587,594.662276490448,496.4779296875,719.3710218152129,581.3392127685546
XRP-USD,Weekly,1.7817372189351912,1.6575307091393985,0.5757346299693061,0.39840938321879654,1.2810864983144956,1.1568155040198023,1.284704582244552,1.1585289902157254,1.1870629518477502,1.0620129129858245
XRP-USD,Monthly,1.8040747478325074,1.7121003868293925,1.139719355159353,1.051117282647353,1.5800308936181056,1.4942082344174659,1.1823810949920424,1.0892926255861919,1.2734470369216235,1.182344342708588
XRP-USD,Quarterly,1.78059830263965,1.7558967238880279,1.401798636371718,1.3721430063247682,1.7736036898332512,1.7476693300824415,1.4927730236693144,1.4630772590637207,1.4982645140313129,1.4690868812203408
LTC-USD,Weekly,35.24863392218617,30.744718354952163,13.883826366586861,10.896382941574347,6.474206786489613,5.029147576367257,6.041805103803778,4.839297824435764,6.329301384680029,4.843536366053991
LTC-USD,Monthly,33.579512917888046,29.34812078675046,18.31132509008886,15.37980006291316,13.890688695315072,10.72894627638748,10.954634371054112,8.888669840494792,12.698622335225142,10.736923110961909
LTC-USD,Quarterly,19.995710851163768,15.857925654485664,12.189958849303194,11.968394470214843,10.480953799754014,10.314510305304276,22.644508575873846,16.375531005859376,24.9985105546229,19.87839412689209
BCH-USD,Weekly,148.81264484552548,120.71163956486959,44.44334438485239,35.506558277567876,35.20083775175089,26.49386345549163,25.73172195053076,20.74247136191716,24.597124696983702,19.056481676858564
BCH-USD,Monthly,149.79605999468492,128.2232777098063,84.47199729266185,75.26885047325722,83.92186895996096,76.62788392065734,60.76044431239839,50.97208862304687,43.762531973091164,36.49822658284504
BCH-USD,Quarterly,271.1294446779448,236.93977266201983,111.3606975736969,103.27366333007812,185.87844366087353,163.1857941476922,140.78845001411955,131.63204345703124,94.55022670360937,89.0825908203125
ADA-USD,Weekly,0.38947156007031697,0.3367684319877352,0.1467004189992364,0.1051207311817857,0.0654731862077314,0.047234631642645145,0.07142853061137021,0.050125883212165226,0.06723122217514216,0.045901071183265196
ADA-USD,Monthly,0.3660731524008659,0.3144176107633675,0.17448894259200493,0.12901546634160554,0.14286145041739728,0.12374266444408795,0.14431838718165804,0.09085114399592081,0.1479871000259732,0.10295508993665375
ADA-USD,Quarterly,0.28086363830949435,0.22263385800245641,0.18279438285837937,0.16144156455993652,0.16165824286565747,0.14057874622705735,0.17021608052504236,0.13628742098808289,0.13927500243518026,0.11819933372735977
DOGE-USD,Weekly,0.13234004426686574,0.10428034522128916,0.039561932948393344,0.02672789367984553,0.038278012395941106,0.023662582175827267,0.021352225569319778,0.015500249843748789,0.020715191454322674,0.015200944040266295
DOGE-USD,Monthly,0.12897594076694058,0.10418588857502896,0.06836539987259854,0.04887191722026238,0.08787127635562408,0.0553691708833784,0.05244024974391967,0.032089839378992714,0.05338592147096158,0.034762545744578044
DOGE-USD,Quarterly,0.11078623328495649,0.09134812770096422,0.0912466076682738,0.06459446549415589,0.12732773877766945,0.1102779901194337,0.059850467276414014,0.042324894666671754,0.07215068799521579,0.04817230515554548
BNB-USD,Weekly,225.06465651330078,151.04669624003327,106.70967964571264,76.78529432953381,231.4763066627088,158.8245668161172,252.5297863518494,172.01970854259673,207.05655084430853,131.59080710759238
BNB-USD,Monthly,238.3079359313709,180.40566782729314,143.55107677448046,107.60295691856969,250.62156054560538,205.4675321483107,299.67930090541375,238.64452311197917,252.2569202978767,193.08053186035153
BNB-USD,Quarterly,136.21767802505062,122.4653994969614,267.9389271513636,225.34951171875,499.4543634324313,475.85484406320677,258.0128826818199,212.3719482421875,271.126338251484,225.3034620361328
XLM-USD,Weekly,0.23825150716577856,0.21368866077987858,0.10253258779982793,0.0671604829000645,0.0511061851744562,0.030169009694863098,0.035667968581690454,0.021469316075718593,0.03806614399242912,0.024780461725498006
XLM-USD,Monthly,0.2268681451376422,0.2070637003085725,0.08388917404491722,0.06347767664836003,0.110459323423844,0.07038673833739331,0.08047761477384907,0.05191157162189484,0.07930744904719521,0.04469901406268278
XLM-USD,Quarterly,0.19903237997089848,0.19273428495978367,0.10343165575000182,0.07992810606956482,0.14649808791740276,0.13769633969978282,0.055190707178095356,0.039524853229522705,0.07134616468531196,0.05474303828924894
TRX-USD,Weekly,0.1220497330917512,0.11019463257306712,0.022825193760393547,0.014968684462250258,0.13166577990635012,0.12063080191749631,0.12491444600057616,0.11332139278215075,0.12450578162922224,0.11286258137415325
TRX-USD,Monthly,0.1286996223977734,0.12026536381322443,0.06408616831466431,0.05742791295051575,0.15305158782981976,0.14602682601024722,0.12332241098417998,0.11485296289126078,0.1270806559525361,0.11877346645792325
TRX-USD,Quarterly,0.0830837860177134,0.07925293673479746,0.13349296498529062,0.13087928146123887,0.20614764159482393,0.20360042940040954,0.12679205974973703,0.12256111800670624,0.1388620477254048,0.13512937948107723
ETC-USD,Weekly,4.987994471437852,3.7505278562835214,2.632094465834777,1.8806744090846328,1.3463286526255793,1.0447770813442392,1.2924591262988532,0.9832348142351423,1.2401540263264133,0.9577390796419174
ETC-USD,Monthly,5.0208493785499595,3.756229810175236,3.879198950813689,3.4326402224027195,2.7625923465866187,1.9293839063098235,2.893128669417659,2.032796096801758,2.7354483046920954,1.952997190475464
ETC-USD,Quarterly,6.234205087733303,5.245327299598246,3.6746093455404463,3.1399417877197267,6.344546281869042,5.809939163609554,2.0014974402459917,1.801101303100586,2.8244070941015536,2.604207030296326
EOS-USD,Weekly,0.2286647135941065,0.17024090776799833,0.16000369581208504,0.10654311712648047,0.13140140543940204,0.09194307849293733,0.13411670478414547,0.08315808148611159,0.11429086153755039,0.07712734070562181
EOS-USD,Monthly,0.2129352217004648,0.17178135372514441,0.20277211573234036,0.17859691381454468,0.2503989722031234,0.21960251696334782,0.19942289166739996,0.15659825603167216,0.18797026287809412,0.13590006756782533
EOS-USD,Quarterly,0.2041697767423319,0.1758117622553664,0.200779905440465,0.16750067174434663,1.4564954922354576,1.442296476270023,0.3513189476515677,0.3035654753446579,0.24935900116620063,0.19894727778434754
XMR-USD,Weekly,135.09723771026356,111.58010515586744,46.15113688808956,33.52781402087602,37.0367633056032,21.463507705504004,26.828847897276344,16.790764944893972,19.180765624106957,14.035248015873014
